CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12
R02,ABIDJAN 2,N/A,REGION,611,108,58,864,111,975,668,110,778,336,25,208
D76,ABOBO EST,NO,DISTRICT,89,17,8,138,20,158,106,19,125,55,3,34
D77,ABOBO OUEST,NO,DISTRICT,50,9,4,82,10,92,86,5,91,32,2,21
D78,ANYAMA,NO,DISTRICT,28,8,3,83,13,96,29,7,36,19,2,8
D79,COCODY BINGERVILLE,NO,DISTRICT,202,38,14,238,38,276,227,43,270,92,4,90
D80,KOUMASSI-PORT-BOUET-VRIDI,NO,DISTRICT,132,23,17,199,21,220,146,24,170,89,7,38
D81,MARCORY-TREICHVILLE,NO,DISTRICT,110,13,12,124,9,133,74,12,86,49,7,17
R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,308,61,54,664,56,720,432,56,488,219,13,175
D82,ADJAME-PLATEAU-ATTECOUBE,NO,DISTRICT,130,23,32,237,32,269,170,35,205,99,8,70
D26,DABOU,YES,DISTRICT,35,8,7,105,6,111,51,1,52,25,2,16
D38,GRAND-LAHOU,YES,DISTRICT,14,3,4,52,3,55,28,1,29,13,1,13
D43,JACQUEVILLE,YES,DISTRICT,18,3,2,62,1,63,17,0,17,10,0,16
D83,YOPOUGON-EST,NO,DISTRICT,29,11,3,76,3,79,58,5,63,15,0,11
D84,YOPOUGON-OUEST SONGON,NO,DISTRICT,82,13,6,132,11,143,108,14,122,57,2,49
R03,AGNEBY-TIASSA-ME,N/A,REGION,134,36,14,564,36,600,200,21,221,112,3,122
D05,ADZOPE,YES,DISTRICT,24,7,2,104,8,112,38,1,39,19,0,15
D06,AGBOVILLE,YES,DISTRICT,16,5,4,64,8,72,33,4,37,19,0,15
D08,AKOUPE,YES,DISTRICT,33,9,4,149,13,162,44,8,52,35,2,34
D09,ALEPE,YES,DISTRICT,22,6,1,79,2,81,27,2,29,15,0,28
D61,SIKENSI,YES,DISTRICT,8,2,1,39,2,41,18,1,19,7,0,8
D67,TIASSALE,YES,DISTRICT,31,7,2,129,3,132,40,5,45,17,1,22
R04,BELIER,N/A,REGION,138,16,13,369,35,404,130,13,143,86,5,71
D30,DIDIEVI,YES,DISTRICT,6,2,0,44,1,45,10,0,10,5,0,4
D68,TIEBISSOU,YES,DISTRICT,12,3,2,57,4,61,19,0,19,9,0,6
D71,TOUMODI,YES,DISTRICT,27,4,4,111,10,121,41,3,44,31,1,25
D73,YAMOUSSOUKRO,YES,DISTRICT,93,7,7,157,20,177,60,10,70,41,4,36
R05,BOUNKANI-GONTOUGO,N/A,REGION,66,11,5,339,14,353,101,2,103,73,0,59
D15,BONDOUKOU,YES,DISTRICT,30,3,2,123,10,133,35,1,36,37,0,20
D22,BOUNA,YES,DISTRICT,12,2,2,63,0,63,19,0,19,13,0,26
D52,NASSIAN,YES,DISTRICT,5,2,0,27,1,28,8,0,8,3,0,3
D65,TANDA,YES,DISTRICT,19,4,1,126,3,129,39,1,40,20,0,10
R06,CAVALLY-GUEMON,N/A,REGION,73,22,8,355,14,369,137,1,138,72,0,75
D10,BANGOLO,YES,DISTRICT,10,2,1,50,2,52,19,0,19,8,0,10
D13,BLOLEQUIN,YES,DISTRICT,7,3,1,38,1,39,13,0,13,9,0,5
D33,DUEKOUE,YES,DISTRICT,20,6,2,99,4,103,34,0,34,18,0,17
D40,GUIGLO,YES,DISTRICT,16,5,2,88,7,95,33,1,34,25,0,30
D46,KOUIBLY,YES,DISTRICT,10,3,1,48,0,48,23,0,23,4,0,6
D70,TOULEPLEU,YES,DISTRICT,10,3,1,32,0,32,15,0,15,8,0,7
R07,GBEKE,N/A,REGION,83,17,5,336,15,351,158,5,163,60,45,176
D20,BEOUMI,YES,DISTRICT,10,3,0,52,1,53,29,1,30,8,0,36
D17,BOUAKE NORD-EST,YES,DISTRICT,18,3,2,65,4,69,27,0,27,9,0,24
D18,BOUAKE NORD-OUEST,YES,DISTRICT,26,6,0,83,8,91,38,1,39,18,0,51
D19,BOUAKE-SUD,YES,DISTRICT,17,2,2,82,0,82,31,3,34,11,0,41
D21,SAKASSOU,YES,DISTRICT,12,3,1,54,2,56,33,0,33,14,0,24
R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,120,32,10,507,40,547,215,8,223,112,45,66
D39,GUEYO,YES,DISTRICT,9,2,0,30,0,30,16,0,16,6,0,3
D58,SAN-PEDRO,YES,DISTRICT,43,11,4,155,21,176,75,7,82,45,2,22
D59,SASSANDRA,YES,DISTRICT,17,6,2,77,4,81,27,0,27,14,0,13
D63,SOUBRE,YES,DISTRICT,38,8,2,173,11,184,68,1,69,32,1,16
D64,TABOU,YES,DISTRICT,13,5,2,72,4,76,29,0,29,15,0,12
R09,GÔH,N/A,REGION,81,13,6,387,33,420,157,5,162,85,42,65
D36,GAGNOA,YES,DISTRICT,19,4,1,90,5,95,38,1,39,19,0,14
D56,OUME,YES,DISTRICT,62,9,5,297,28,325,119,4,123,66,5,51
R10,HAMBOL,N/A,REGION,40,8,4,166,5,171,65,0,65,31,37,46
D25,DABAKALA,YES,DISTRICT,13,3,1,57,3,60,23,0,23,12,0,17
D44,KATIOLA,YES,DISTRICT,15,2,2,64,2,66,26,0,26,12,0,17
D53,NIAKARAMANDOUGOU,YES,DISTRICT,12,3,1,45,0,45,16,0,16,7,0,12
R11,HAUT SASSANDRA,N/A,REGION,82,19,9,419,37,456,173,8,181,97,31,122
D27,DALOA,YES,DISTRICT,49,9,3,217,27,244,88,6,94,54,5,48
D42,ISSIA,YES,DISTRICT,19,5,3,120,6,126,49,2,51,24,1,27
D72,VAVOUA,YES,DISTRICT,14,5,3,82,4,86,36,0,36,19,0,47
R12,INDENIE DUABLIN,N/A,REGION,67,14,6,309,27,336,111,6,117,66,18,48
D01,ABENGOUROU,YES,DISTRICT,43,9,4,180,22,202,63,5,68,46,6,29
D07,AGNIBILEKROU,YES,DISTRICT,18,3,2,91,5,96,33,1,34,14,1,16
D11,BETTIE,YES,DISTRICT,6,2,0,38,0,38,15,0,15,6,0,3
R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,58,9,3,157,8,165,76,0,76,41,10,47
D51,MINIGNAN,YES,DISTRICT,10,1,0,26,0,26,18,0,18,4,0,4
D54,ODIENNE,YES,DISTRICT,29,6,2,72,6,78,33,0,33,26,1,25
D69,TOUBA,YES,DISTRICT,19,2,1,59,2,61,25,0,25,11,0,18
R14,LÔH-DJIBOUA,N/A,REGION,54,13,7,314,19,333,136,7,143,66,7,46
D32,DIVO,YES,DISTRICT,27,4,3,174,15,189,61,7,68,32,2,31
D35,FRESCO,YES,DISTRICT,8,3,2,39,1,40,20,0,20,10,0,5
D41,GUITRY,YES,DISTRICT,5,3,1,19,0,19,12,0,12,7,0,4
D47,LAKOTA,YES,DISTRICT,14,3,1,82,3,85,43,0,43,17,0,6
R15,MARAHOUE,N/A,REGION,53,16,5,308,19,327,104,3,107,53,3,48
D16,BOUAFLE,YES,DISTRICT,25,8,2,166,12,178,50,3,53,26,2,25
D62,SINFRA,YES,DISTRICT,17,4,1,79,5,84,25,0,25,12,1,13
D75,ZUENOULA,YES,DISTRICT,11,4,2,63,2,65,29,0,29,15,0,10
R16,N'ZI-IFOU,N/A,REGION,94,25,12,399,20,419,130,3,133,91,0,62
D14,BOCANDA,YES,DISTRICT,12,2,2,50,2,52,12,1,13,8,0,4
D24,BONGOUANOU,YES,DISTRICT,24,7,5,131,5,136,37,2,39,28,0,24
D29,DAOUKRO,YES,DISTRICT,17,7,2,78,6,84,25,0,25,17,0,12
D31,DIMBOKRO,YES,DISTRICT,19,5,2,68,6,74,20,0,20,21,0,13
D50,M'BAHIAKRO,YES,DISTRICT,12,2,1,38,0,38,20,0,20,10,0,5
D57,PRIKRO,YES,DISTRICT,10,2,0,34,1,35,16,0,16,7,0,4
R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,98,25,9,441,24,465,159,6,165,89,95,172
D23,BOUNDIALI,YES,DISTRICT,16,5,2,72,2,74,23,0,23,11,1,24
D34,FERKESSEDOUGOU,YES,DISTRICT,12,4,2,71,4,75,29,0,29,13,0,22
D45,KORHOGO,YES,DISTRICT,48,10,4,213,16,229,73,5,78,50,3,108
D55,OUANGOLODOUGOU,YES,DISTRICT,10,3,1,41,1,42,20,0,20,7,0,10
D66,TENGRELA,YES,DISTRICT,12,3,0,44,1,45,14,1,15,8,0,8
R18,SUD-COMOE,N/A,REGION,118,27,18,385,30,415,169,9,178,91,91,79
D03,ABOISSO,YES,DISTRICT,46,12,6,154,12,166,71,4,75,36,3,38
D04,ADIAKE,YES,DISTRICT,26,6,3,85,4,89,34,0,34,18,0,13
D37,GRAND-BASSAM,YES,DISTRICT,46,9,9,146,14,160,64,5,69,37,3,28
R19,TONKPI,N/A,REGION,68,12,7,320,15,335,104,3,107,65,85,83
D12,BIANKOUMA,YES,DISTRICT,11,3,1,62,0,62,18,0,18,6,0,13
D28,DANANE,YES,DISTRICT,14,3,1,74,4,78,28,0,28,16,0,16
D48,MAN,YES,DISTRICT,30,4,3,128,9,137,41,3,44,33,3,45
D74,ZOUAN-HOUNIEN,YES,DISTRICT,13,2,2,56,2,58,17,0,17,10,0,9
R20,WORODOUGOU-BERE,N/A,REGION,49,13,3,179,8,187,77,1,78,44,82,65
D49,MANKONO,YES,DISTRICT,20,6,1,78,2,80,29,0,29,17,0,21
D60,SEGUELA,YES,DISTRICT,29,7,2,101,6,107,48,1,49,27,1,44