ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
1,R02,ABIDJAN 2,N/A,REGION,21,120,141,8,1,9,0,9,2,110,70,264,152,150
2,D76,ABOBO EST,YES,DISTRICT,1,30,31,1,0,1,0,1,0,25,12,38,32,32
3,D77,ABOBO OUEST,YES,DISTRICT,0,11,11,1,0,1,0,1,0,10,8,14,12,12
4,D78,ANYAMA,YES,DISTRICT,12,5,17,1,1,2,0,2,0,18,6,9,19,19
5,D79,COCODY BINGERVILLE,YES,DISTRICT,4,22,26,1,0,1,0,1,1,23,8,102,28,27
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,4,29,33,2,0,2,0,2,0,23,29,47,35,35
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,0,23,23,2,0,2,0,2,1,11,7,54,26,25
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,57,62,119,5,2,7,0,7,1,86,38,215,127,126
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,0,21,21,1,0,1,0,1,0,10,12,58,22,22
10,D26,DABOU,YES,DISTRICT,23,4,27,1,2,3,0,3,0,25,2,7,30,30
11,D38,GRAND-LAHOU,YES,DISTRICT,11,3,14,1,0,1,0,1,0,12,2,2,15,15
12,D43,JACQUEVILLE,YES,DISTRICT,15,3,18,1,0,1,0,1,0,12,2,3,19,19
13,D83,YOPOUGON-EST,YES,DISTRICT,0,16,16,0,0,0,0,0,0,7,6,10,16,16
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,8,15,23,1,0,1,0,1,1,20,14,135,25,24
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,90,40,130,7,2,9,1,10,0,87,15,48,140,140
16,D05,ADZOPE,YES,DISTRICT,15,7,22,1,0,1,0,1,0,10,2,6,23,23
17,D06,AGBOVILLE,YES,DISTRICT,25,10,35,0,0,0,1,1,0,21,2,9,36,36
18,D08,AKOUPE,YES,DISTRICT,11,5,16,2,0,2,0,2,0,16,3,4,18,18
19,D09,ALEPE,YES,DISTRICT,11,8,19,1,1,2,0,2,0,15,2,19,21,21
20,D61,SIKENSI,YES,DISTRICT,9,1,10,1,0,1,0,1,0,9,2,2,11,11
21,D67,TIASSALE,YES,DISTRICT,19,9,28,2,1,3,0,3,0,16,4,8,31,31
22,R04,BELIER,N/A,REGION,79,17,96,4,2,6,1,7,0,75,15,26,103,103
23,D30,DIDIEVI,YES,DISTRICT,13,2,15,1,0,1,0,1,0,10,3,1,16,16
24,D68,TIEBISSOU,YES,DISTRICT,20,3,23,1,0,1,0,1,0,15,2,2,24,24
25,D71,TOUMODI,YES,DISTRICT,19,4,23,2,1,3,0,3,0,25,5,4,26,26
26,D73,YAMOUSSOUKRO,YES,DISTRICT,27,8,35,0,1,1,1,2,0,25,5,19,37,37
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,135,31,166,5,4,9,1,10,0,77,10,7,176,176
28,D15,BONDOUKOU,YES,DISTRICT,40,14,54,1,2,3,1,4,0,32,2,4,58,58
29,D22,BOUNA,YES,DISTRICT,31,6,37,1,1,2,0,2,0,10,2,1,39,39
30,D52,NASSIAN,YES,DISTRICT,8,2,10,1,0,1,0,1,0,6,2,0,11,11
31,D65,TANDA,YES,DISTRICT,56,9,65,2,1,3,0,3,0,29,4,2,68,68
32,R06,CAVALLY-GUEMON,N/A,REGION,106,18,124,5,1,6,1,7,0,69,17,15,131,131
33,D10,BANGOLO,YES,DISTRICT,19,0,19,1,0,1,0,1,0,15,2,1,20,20
34,D13,BLOLEQUIN,YES,DISTRICT,8,2,10,1,0,1,0,1,0,10,4,1,11,11
35,D33,DUEKOUE,YES,DISTRICT,29,6,35,1,1,2,0,2,0,21,3,6,37,37
36,D40,GUIGLO,YES,DISTRICT,17,4,21,0,0,0,1,1,0,7,4,6,22,22
37,D46,KOUIBLY,YES,DISTRICT,20,5,25,1,0,1,0,1,0,8,2,0,26,26
38,D70,TOULEPLEU,YES,DISTRICT,13,1,14,1,0,1,0,1,0,8,2,1,15,15
39,R07,GBEKE,N/A,REGION,65,39,104,2,2,4,0,4,1,77,16,33,109,108
40,D20,BEOUMI,YES,DISTRICT,20,6,26,1,0,1,0,1,0,16,2,1,27,27
41,D17,BOUAKE NORD-EST,YES,DISTRICT,9,8,17,0,0,0,0,0,0,16,5,10,17,17
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,11,17,28,0,1,1,0,1,1,20,3,12,30,29
43,D19,BOUAKE-SUD,YES,DISTRICT,9,4,13,0,1,1,0,1,0,9,4,9,14,14
44,D21,SAKASSOU,YES,DISTRICT,16,4,20,1,0,1,0,1,0,16,2,1,21,21
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,145,53,198,5,1,6,1,7,0,116,19,31,205,205
46,D39,GUEYO,YES,DISTRICT,9,1,10,1,0,1,0,1,0,7,2,2,11,11
47,D58,SAN-PEDRO,YES,DISTRICT,19,6,25,0,0,0,1,1,0,33,4,3,26,26
48,D59,SASSANDRA,YES,DISTRICT,21,6,27,1,1,2,0,2,0,24,2,4,29,29
49,D63,SOUBRE,YES,DISTRICT,79,34,113,2,0,2,0,2,0,30,5,18,115,115
50,D64,TABOU,YES,DISTRICT,17,6,23,1,0,1,0,1,0,22,6,4,24,24
51,R09,GÔH,N/A,REGION,85,22,107,2,0,2,1,3,0,55,14,25,110,110
52,D36,GAGNOA,YES,DISTRICT,64,17,81,1,0,1,1,2,0,44,9,20,83,83
53,D56,OUME,YES,DISTRICT,21,5,26,1,0,1,0,1,0,11,5,5,27,27
54,R10,HAMBOL,N/A,REGION,28,17,45,3,0,3,0,3,0,39,7,5,48,48
55,D25,DABAKALA,YES,DISTRICT,13,8,21,1,0,1,0,1,0,21,2,1,22,22
56,D44,KATIOLA,YES,DISTRICT,7,6,13,1,0,1,0,1,0,11,2,2,14,14
57,D53,Niakaramandougou,YES,DISTRICT,8,3,11,1,0,1,0,1,0,7,3,2,12,12
58,R11,HAUT SASSANDRA,N/A,REGION,73,23,96,3,0,3,1,4,0,76,22,31,100,100
59,D27,DALOA,YES,DISTRICT,30,11,41,1,0,1,1,2,0,28,11,22,43,43
60,D42,ISSIA,YES,DISTRICT,20,8,28,1,0,1,0,1,0,21,8,6,29,29
61,D72,VAVOUA,YES,DISTRICT,23,4,27,1,0,1,0,1,0,27,3,3,28,28
62,R12,INDENIE DUABLIN,N/A,REGION,35,28,63,2,0,2,1,3,0,47,10,13,66,66
63,D01,ABENGOUROU,YES,DISTRICT,16,19,35,0,0,0,1,1,0,25,5,9,36,36
64,D07,AGNIBILEKROU,YES,DISTRICT,15,5,20,1,0,1,0,1,0,14,3,3,21,21
65,D11,BETTIE,YES,DISTRICT,4,4,8,1,0,1,0,1,0,8,2,1,9,9
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,63,30,93,3,0,3,2,5,0,49,7,4,98,98
67,D51,MINIGNAN,YES,DISTRICT,13,6,19,1,0,1,0,1,0,11,2,0,20,20
68,D54,ODIENNE,YES,DISTRICT,27,15,42,1,0,1,1,2,0,18,3,3,44,44
69,D69,TOUBA,YES,DISTRICT,23,9,32,1,0,1,1,2,0,20,2,1,34,34
70,R14,LÔH-DJIBOUA,N/A,REGION,76,25,101,3,0,3,1,4,0,85,18,23,105,105
71,D32,DIVO,YES,DISTRICT,31,12,43,0,0,0,1,1,0,39,6,14,44,44
72,D35,FRESCO,YES,DISTRICT,12,4,16,1,0,1,0,1,0,9,3,2,17,17
73,D41,GUITRY,YES,DISTRICT,11,2,13,1,0,1,0,1,0,11,3,2,14,14
74,D47,LAKOTA,YES,DISTRICT,22,7,29,1,0,1,0,1,0,26,6,5,30,30
75,R15,MARAHOUE,N/A,REGION,55,16,71,2,0,2,1,3,0,60,11,13,74,74
76,D16,BOUAFLE,YES,DISTRICT,30,5,35,0,0,0,1,1,0,32,3,5,36,36
77,D62,SINFRA,YES,DISTRICT,5,7,12,1,0,1,0,1,0,8,5,5,13,13
78,D75,ZUENOULA,YES,DISTRICT,20,4,24,1,0,1,0,1,0,20,3,3,25,25
79,R16,N'ZI-IFFOU,N/A,REGION,88,46,134,7,0,7,1,8,0,74,20,14,142,142
80,D14,BOCANDA,YES,DISTRICT,16,6,22,1,0,1,0,1,0,9,4,1,23,23
81,D24,BONGOUANOU,YES,DISTRICT,30,11,41,3,0,3,0,3,0,27,6,5,44,44
82,D29,DAOUKRO,YES,DISTRICT,14,13,27,1,0,1,0,1,0,11,3,4,28,28
83,D31,DIMBOKRO,YES,DISTRICT,10,10,20,0,0,0,1,1,0,8,3,3,21,21
84,D50,M'BAHIAKRO,YES,DISTRICT,10,2,12,1,0,1,0,1,0,8,2,1,13,13
85,D57,PRIKRO,YES,DISTRICT,8,4,12,1,0,1,0,1,0,11,2,0,13,13
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,131,46,177,5,3,8,1,9,0,133,18,23,186,186
87,D23,BOUNDIALI,YES,DISTRICT,26,12,38,2,1,3,0,3,0,38,4,3,41,41
88,D34,FERKESSEDOUGOU,YES,DISTRICT,17,3,20,1,1,2,0,2,0,15,2,4,22,22
89,D45,KORHOGO,YES,DISTRICT,70,22,92,0,0,0,1,1,0,53,6,12,93,93
90,D55,OUANGOLODOUGOU,YES,DISTRICT,8,6,14,1,1,2,0,2,0,13,3,3,16,16
91,D66,TENGRELA,YES,DISTRICT,10,3,13,1,0,1,0,1,0,14,3,1,14,14
92,R18,SUD-COMOE,N/A,REGION,67,24,91,6,3,9,1,10,0,67,11,36,101,101
93,D03,ABOISSO,YES,DISTRICT,34,10,44,2,1,3,1,4,0,36,4,14,48,48
94,D04,ADIAKE,YES,DISTRICT,20,4,24,2,0,2,0,2,0,20,3,3,26,26
95,D37,GRAND-BASSAM,YES,DISTRICT,13,10,23,2,2,4,0,4,0,11,4,19,27,27
96,R19,TONKPI,N/A,REGION,87,28,115,3,0,3,1,4,0,40,10,11,119,119
97,D12,BIANKOUMA,YES,DISTRICT,20,10,30,1,0,1,0,1,0,12,2,1,31,31
98,D28,DANANE,YES,DISTRICT,18,4,22,1,0,1,0,1,0,8,2,2,23,23
99,D48,MAN,YES,DISTRICT,33,6,39,0,0,0,1,1,0,12,4,7,40,40
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,16,8,24,1,0,1,0,1,0,8,2,1,25,25
101,R20,WORODOUGOU-BERE,N/A,REGION,42,39,81,2,0,2,1,3,0,55,10,6,84,84
102,D49,MANKONO,YES,DISTRICT,32,14,46,1,0,1,0,1,0,30,7,2,47,47
103,D60,SEGUELA,YES,DISTRICT,10,25,35,1,0,1,1,2,0,25,3,4,37,37
104,P01,TOTAL CI,N/A,PAYS,1528,724,2252,82,21,103,17,120,4,1477,358,843,2376,2372
