CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18
AFR,Afrique,Afrique,CTN,2107999275,228529040,5088230,0,402440447,172300000,306078990,49144568,5248000,0,39215382,0,5011478,29000000,750000000,13547883,102395257,0
ZA,Afrique Du Sud,Afrique,CTR,121871062,0,0,0,50696775,0,5413088,0,0,0,17394500,0,0,29000000,0,0,19366699,0
AL,Albania,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,21632629,0,0,0,21632629,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,206470758.9,15581602.35,6559570,15531015.57,113951303,25000129,13447119,0,0,0,4637616,11762404,0,0,0,0,0,0
AME,Amérique,Amérique,CTN,2120298636,1071197528,0,0,508376338,230698325,28744740,157754014,0,1500000,0,85281562,0,12196096,17920000,630033,6000000,0
AD,Andorre,Europe,CTR,54838005,0,0,0,54838005,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,Asie,Asie,CTN,1110536437,240461582,5900000,0,690106049,51722251,68985719,27976269,0,0,0,904252,0,0,24480315,0,0,0
AU,Australie,Océanie,CTR,8000000,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,986211955,98555533,0,0,838276983,5252500,12143298,0,0,0,1333333,29702450,0,0,0,947858,0,0
BW,Botswana,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Bresil,Amérique,CTR,4951872,4951872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,15000000,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,10000000,0
CM,Cameroun,Afrique,CTR,65900950,6000000,0,0,34652950,0,20000000,0,5248000,0,0,0,0,0,0,0,0,0
CA,Canada,Amérique,CTR,1050159979,639144024,0,0,142431163,158250000,885000,46765058,0,0,0,31134701,0,7000000,17920000,630033,6000000,0
CV,Cap Vert,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,1890000,0,0,0,1890000,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chili,Amérique,CTR,4100000,0,0,0,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,121956494,84339673,0,0,12310000,18747251,6559570,0,0,0,0,0,0,0,0,0,0,0
CY,Chypre,Asie,CTR,12000000,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombie,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,Corée Du Sud,Asie,CTR,4500000,0,0,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Danemark,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ,Djibouti,Afrique,CTR,3750000,3750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypte,Afrique,CTR,10495312,0,0,0,10495312,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,Emirats Arabes Unis,Asie,CTR,54471000,9996000,0,0,0,29475000,0,15000000,0,0,0,0,0,0,0,0,0,0
ES,Espagne,Europe,CTR,142324240,35622347,0,0,46188509,10543505,22300957,0,0,1508701,26160221,0,0,0,0,0,0,0
EE,Estonie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Etats-Unis,Amérique,CTR,1061082710,428597556.5,0,0,361845175,72448325,27859740,110988956,0,0,0,54146861,0,5196096,0,0,0,0
ET,Ethiopie,Afrique,CTR,3528000,0,0,0,3528000,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,Europe,Europe,CTN,13320521537,2069460723,94469031,64202413.57,7800024955,410457809,534411897.3,995492099.5,0,5772422,132736340,82349668,0,720023693,14983936,344896040.3,46189640,5050869
FI,Finlande,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,Europe,CTR,9148458620,1553097165,82154986,33993574,5560175026,297661675,234837595.3,987192099.5,0,4263721,68162018,10347722,0,99192062,14983936,164880981.3,32465190,5050869
GA,Gabon,Afrique,CTR,31161363.62,0,0,0,7600000,0,10698515.62,0,0,0,0,0,0,0,0,12862848,0,0
GM,Gambie,Afrique,CTR,8067845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8067845,0
GH,Ghana,Afrique,CTR,37924155,0,1280400,0,0,0,6237623,0,0,0,17357278,0,0,0,0,0,13048854,0
GR,Grèce,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinée ,Afrique,CTR,72896066,0,0,0,47840000,0,7434312,0,0,0,4463604,0,5011478,0,0,0,8146672,0
GY,Guyana,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,Amérique,CTR,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0
HK,Hong Kong,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hongrie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,287659410,10512000,0,0,264171141,0,0,12976269,0,0,0,0,0,0,0,0,0,0
ID,Indonesie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Irlande,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israël,Asie,CTR,101365033,0,0,0,76884718,0,0,0,0,0,0,0,0,0,24480315,0,0,0
IT,Italie,Europe,CTR,278033246,39880848,4919678,0,166213841,0,0,0,0,0,27550194,14539767,0,14201469,0,10727449,0,0
JP,Japon,Asie,CTR,60596339,0,0,0,0,0,59692087,0,0,0,0,904252,0,0,0,0,0,0
JO,Jordanie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,Afrique,CTR,14106984,5200000,0,0,4706984,1700000,0,0,0,0,0,0,0,0,0,0,2500000,0
LV,Lettonie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB,Liban,Asie,CTR,260644790,0,0,0,260644790,0,0,0,0,0,0,0,0,0,0,0,0,0
LR,Liberia,Afrique,CTR,6807967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6807967,0
LT,Lituanie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,126294100,9883380,0,0,83612870,0,32797850,0,0,0,0,0,0,0,0,0,0,0
MK,Macédoine Du Nord,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,Afrique,CTR,7500000,0,0,0,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaisie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malte,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Maroc,Afrique,CTR,212886264,14807226,0,0,104654685,41000000,3279785,49144568,0,0,0,0,0,0,0,0,0,0
MU,Maurice ,Afrique,CTR,895976658,123447828,0,0,6998392,0,15530438,0,0,0,0,0,0,0,750000000,0,0,0
MR,Mauritanie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ,Mozanbique,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,Namibie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,370363463.5,2827200,0,0,20616000,114600000,231635228.5,0,0,0,0,0,0,0,0,685035,0,0
NO,Norvege,Europe,CTR,20000000,0,0,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,Nouvelle-Zélande,Océanie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCE,Océanie,Océanie,CTN,8000000,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,3018450,3018450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,86091012,24380000,0,0,59595400,0,2115612,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,23000759,0,0,0,7000000,0,1311914,0,0,0,0,14688845,0,0,0,0,0,0
PE,Perou,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,9068606,9068606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,94799826.7,23000000,0,0,59043824.7,0,0,0,0,0,0,0,0,0,0,12756002,0,0
CD,République Démocratique Du Congo,Afrique,CTR,18000000,0,0,0,3000000,5000000,0,0,0,0,0,0,0,0,0,0,10000000,0
DO,Republique Dominicaine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Royaume-Uni,Europe,CTR,494724024,239607098,0,14677824,117446771,72000000,18152443,0,0,0,4892958,1308480,0,12914000,0,0,13724450,0
RU,Russie,Europe,CTR,8300000,0,0,0,0,0,0,8300000,0,0,0,0,0,0,0,0,0,0
RW,Rwanda,Afrique,CTR,24129785,0,0,0,3279785,5000000,5850000,0,0,0,0,0,0,0,0,0,10000000,0
SC,Seychelles,Afrique,CTR,40538143,40538143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,Sierra Leone,Afrique,CTR,8677435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8677435,0
SG,Singapour ,Asie,CTR,6518450,0,5900000,0,0,0,618450,0,0,0,0,0,0,0,0,0,0,0
SK,Slovaquie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovénie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Suède,Europe,CTR,834797,0,834797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Suisse,Europe,CTR,1731207280,52736824.84,0,0,729749822,0,199420721,0,0,0,0,0,0,593716162,0,155583750,0,0
TW,Taïwan,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,Afrique,CTR,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0
TD,Tchad,Afrique,CTR,8340000,0,0,0,8340000,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,Tunisie,Afrique,CTR,79389743.41,3765193,3807830,0,68536935.41,0,0,0,0,0,0,0,0,0,0,0,3279785,0
TR,Turquie,Asie,CTR,23506688,20006688,0,0,0,3500000,0,0,0,0,0,0,0,0,0,0,0,0
VD,Vietnam,Asie,CTR,82158615,82158615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZM,Zambie,Afrique,CTR,25175000,25175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
