ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2
1,R02,ABIDJAN 2,N/A,REGION,4124,37
2,D76,ABOBO EST,NO,DISTRICT,240,0
3,D77,ABOBO OUEST,NO,DISTRICT,76,0
4,D78,ANYAMA,NO,DISTRICT,28,0
5,D79,COCODY BINGERVILLE,NO,DISTRICT,1666,12
6,D80,KOUMASSI-PORT-BOUET-VRIDI,NO,DISTRICT,438,2
7,D81,MARCORY-TREICHVILLE,NO,DISTRICT,1676,23
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,934,9
9,D82,ADJAME-PLATEAU-ATTECOUBE,NO,DISTRICT,356,0
10,D26,DABOU,YES,DISTRICT,9,0
11,D38,GRAND-LAHOU,YES,DISTRICT,0,0
12,D43,JACQUEVILLE,YES,DISTRICT,0,0
13,D83,YOPOUGON-EST,NO,DISTRICT,552,4
14,D84,YOPOUGON-OUEST-SONGON,NO,DISTRICT,17,5
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,7,0
16,D05,ADZOPE,YES,DISTRICT,1,0
17,D06,AGBOVILLE,YES,DISTRICT,5,0
18,D08,AKOUPE,YES,DISTRICT,1,0
19,D09,ALEPE,YES,DISTRICT,0,0
20,D61,SIKENSI,YES,DISTRICT,0,0
21,D67,TIASSALE,YES,DISTRICT,0,0
22,R04,BELIER,N/A,REGION,2,0
23,D30,DIDIEVI,YES,DISTRICT,0,0
24,D68,TIEBISSOU,YES,DISTRICT,0,0
25,D71,TOUMODI,YES,DISTRICT,0,0
26,D73,YAMOUSSOUKRO,YES,DISTRICT,2,0
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,1,0
28,D15,BONDOUKOU,YES,DISTRICT,0,0
29,D22,BOUNA,YES,DISTRICT,0,0
30,D52,NASSIAN,YES,DISTRICT,0,0
31,D65,TANDA,YES,DISTRICT,1,0
32,R06,CAVALLY-GUEMON,N/A,REGION,7,0
33,D10,BANGOLO,YES,DISTRICT,0,0
34,D13,BLOLEQUIN,YES,DISTRICT,1,0
35,D33,DUEKOUE,YES,DISTRICT,3,0
36,D40,GUIGLO,YES,DISTRICT,1,0
37,D46,KOUIBLY,YES,DISTRICT,1,0
38,D70,TOULEPLEU,YES,DISTRICT,1,0
39,R07,GBEKE,N/A,REGION,22,0
40,D20,BEOUMI,YES,DISTRICT,0,0
41,D17,BOUAKE NORD-EST,YES,DISTRICT,2,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,20,0
43,D19,BOUAKE-SUD,YES,DISTRICT,0,0
44,D21,SAKASSOU,YES,DISTRICT,0,0
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,30,0
46,D39,GUEYO,YES,DISTRICT,1,0
47,D58,SAN-PEDRO,YES,DISTRICT,22,0
48,D59,SASSANDRA,YES,DISTRICT,2,0
49,D63,SOUBRE,YES,DISTRICT,5,0
50,D64,TABOU,YES,DISTRICT,0,0
51,R09,GÔH,N/A,REGION,0,0
52,D36,GAGNOA,YES,DISTRICT,0,0
53,D56,OUME,YES,DISTRICT,0,0
54,R10,HAMBOL,N/A,REGION,1,0
55,D25,DABAKALA,YES,DISTRICT,0,0
56,D44,KATIOLA,YES,DISTRICT,1,0
57,D53,NIAKARAMANDOUGOU,YES,DISTRICT,0,0
58,R11,HAUT SASSANDRA,N/A,REGION,3,0
59,D27,DALOA,YES,DISTRICT,2,0
60,D42,ISSIA,YES,DISTRICT,0,0
61,D72,VAVOUA,YES,DISTRICT,1,0
62,R12,INDENIE DUABLIN,N/A,REGION,2,0
63,D01,ABENGOUROU,YES,DISTRICT,2,0
64,D07,AGNIBILEKROU,YES,DISTRICT,0,0
65,D11,BETTIE,YES,DISTRICT,0,0
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,0,0
67,D51,MINIGNAN,YES,DISTRICT,0,0
68,D54,ODIENNE,YES,DISTRICT,0,0
69,D69,TOUBA,YES,DISTRICT,0,0
70,R14,LÔH-DJIBOUA,N/A,REGION,0,0
71,D32,DIVO,YES,DISTRICT,0,0
72,D35,FRESCO,YES,DISTRICT,0,0
73,D41,GUITRY,YES,DISTRICT,0,0
74,D47,LAKOTA,YES,DISTRICT,0,0
75,R15,MARAHOUE,N/A,REGION,2,0
76,D16,BOUAFLE,YES,DISTRICT,1,0
77,D62,SINFRA,YES,DISTRICT,1,0
78,D75,ZUENOULA,YES,DISTRICT,0,0
79,R16,N'ZI-IFOU,N/A,REGION,2,0
80,D14,BOCANDA,YES,DISTRICT,0,0
81,D24,BONGOUANOU,YES,DISTRICT,0,0
82,D29,DAOUKRO,YES,DISTRICT,0,0
83,D31,DIMBOKRO,YES,DISTRICT,2,0
84,D50,M'BAHIAKRO,YES,DISTRICT,0,0
85,D57,PRIKRO,YES,DISTRICT,0,0
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,5,0
87,D23,BOUNDIALI,YES,DISTRICT,0,0
88,D34,FERKESSEDOUGOU,YES,DISTRICT,1,0
89,D45,KORHOGO,YES,DISTRICT,4,0
90,D55,OUANGOLODOUGOU,YES,DISTRICT,0,0
91,D66,TENGRELA,YES,DISTRICT,0,0
92,R18,SUD-COMOE,N/A,REGION,118,0
93,D03,ABOISSO,YES,DISTRICT,29,0
94,D04,ADIAKE,YES,DISTRICT,6,0
95,D37,GRAND-BASSAM,YES,DISTRICT,83,0
96,R19,TONKPI,N/A,REGION,5,0
97,D12,BIANKOUMA,YES,DISTRICT,0,0
98,D28,DANANE,YES,DISTRICT,0,0
99,D48,MAN,YES,DISTRICT,2,0
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,3,0
101,R20,WORODOUGOU-BERE,N/A,REGION,0,0
102,D49,MANKONO,YES,DISTRICT,0,0
103,D60,SEGUELA,YES,DISTRICT,0,0
